#wl 	 flux 	 err 
3851.233887 	 8.395863e-16 	 2.922166e-17 
3852.122070 	 8.420997e-16 	 2.940947e-17 
3853.008301 	 8.180359e-16 	 2.894460e-17 
3853.896729 	 7.994107e-16 	 2.847190e-17 
3854.783203 	 8.175205e-16 	 2.881715e-17 
3855.672119 	 8.510547e-16 	 2.937020e-17 
3856.559082 	 8.535102e-16 	 2.948530e-17 
3857.446289 	 8.189560e-16 	 2.878228e-17 
3858.335938 	 8.319131e-16 	 2.893927e-17 
3859.223389 	 8.420233e-16 	 2.925633e-17 
3860.113525 	 8.613845e-16 	 2.936329e-17 
3861.001465 	 8.740621e-16 	 2.966516e-17 
3861.891846 	 8.557106e-16 	 2.942504e-17 
3862.780273 	 8.336976e-16 	 2.908151e-17 
3863.668701 	 8.746973e-16 	 2.971216e-17 
3864.559814 	 8.713021e-16 	 2.955602e-17 
3865.448730 	 8.282860e-16 	 2.874552e-17 
3866.340088 	 8.226643e-16 	 2.869576e-17 
3867.229736 	 8.571989e-16 	 2.900388e-17 
3868.121338 	 8.311387e-16 	 2.866119e-17 
3869.011230 	 8.094578e-16 	 2.814160e-17 
3869.901367 	 7.962606e-16 	 2.790732e-17 
3870.793701 	 7.880427e-16 	 2.761010e-17 
3871.684082 	 8.130085e-16 	 2.819777e-17 
3872.576904 	 8.325891e-16 	 2.793659e-17 
3873.467773 	 7.651392e-16 	 2.748272e-17 
3874.361084 	 8.131437e-16 	 2.760065e-17 
3875.252441 	 7.815705e-16 	 2.730339e-17 
3876.143799 	 7.329161e-16 	 2.620647e-17 
3877.037598 	 7.230704e-16 	 2.602966e-17 
3877.929688 	 7.396741e-16 	 2.610569e-17 
3878.823730 	 7.537670e-16 	 2.640414e-17 
3879.716064 	 7.492964e-16 	 2.629942e-17 
3880.610840 	 7.218945e-16 	 2.574776e-17 
3881.503662 	 6.995479e-16 	 2.536162e-17 
3882.396484 	 7.042014e-16 	 2.515957e-17 
3883.291748 	 7.007211e-16 	 2.508537e-17 
3884.185059 	 6.495464e-16 	 2.440258e-17 
3885.080811 	 7.217637e-16 	 2.517175e-17 
3885.974609 	 6.917224e-16 	 2.480848e-17 
3886.870605 	 6.511482e-16 	 2.409636e-17 
3887.764893 	 6.569133e-16 	 2.393194e-17 
3888.659180 	 6.604825e-16 	 2.401950e-17 
3889.555908 	 6.240725e-16 	 2.327790e-17 
3890.450684 	 6.456279e-16 	 2.357046e-17 
3891.347900 	 6.408581e-16 	 2.357151e-17 
3892.242920 	 6.549443e-16 	 2.372373e-17 
3893.140625 	 6.541495e-16 	 2.363670e-17 
3894.036133 	 6.284003e-16 	 2.350388e-17 
3894.934082 	 6.787372e-16 	 2.436114e-17 
3895.830078 	 7.289953e-16 	 2.541031e-17 
3896.726318 	 7.353131e-16 	 2.548272e-17 
3897.625000 	 6.966354e-16 	 2.448367e-17 
3898.521484 	 6.834986e-16 	 2.447831e-17 
3899.420654 	 7.211430e-16 	 2.483022e-17 
3900.317627 	 7.302273e-16 	 2.514137e-17 
3901.217041 	 7.435338e-16 	 2.539218e-17 
